avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
2.667,0.678,0.552,2.286,0.241,2.81,0.814,0.667,0.058,0.086,0.104,0.797,Defacement
3.667,0.755,0.5,2.75,0.182,4.15,0.663,0.75,0.246,0.388,0.473,0.766,spam
4.182,0.7,0.025,0.118,0.213,3.294,0.036,0.824,0.0,0.0,-1.0,0.827,Defacement
4.667,0.803,0.513,3.75,0.137,5.875,0.638,0.25,0.205,0.348,0.4,0.77,spam
4.714,0.696,0.036,0.2,0.179,3.9,0.051,0.5,0.054,0.167,-1.0,0.88,spam
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.1,0.286,-1.0,0.917,phishing
4.833,0.636,0.036,0.154,0.236,2.692,0.057,0.769,0.091,1.0,-1.0,0.875,benign
5.125,0.762,0.032,0.25,0.127,6.0,0.042,0.625,0.0,0.0,-1.0,0.917,benign
2.667,0.551,0.41,1.143,0.359,1.536,0.744,0.429,0.026,0.048,0.063,0.73,Defacement
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.1,0.0,0.0,0.844,spam
7.364,0.814,0.018,0.143,0.124,6.571,0.022,0.5,0.186,0.625,-1.0,0.798,phishing
4.667,0.803,0.513,3.75,0.137,5.875,0.638,0.25,0.205,0.348,0.4,0.77,spam
6.429,0.658,0.025,0.1,0.253,2.6,0.039,0.65,0.0,0.0,-1.0,0.829,phishing
4.625,0.688,0.031,0.154,0.203,3.385,0.046,0.846,0.0,0.0,-1.0,0.818,malware
5.2,0.726,0.21,1.3,0.161,4.5,0.289,0.8,0.129,0.571,0.615,0.88,benign
3.5,0.449,0.188,0.419,0.449,1.0,0.419,0.387,0.13,0.381,0.615,0.806,spam
3.2,0.541,0.054,0.2,0.27,2.0,0.1,0.5,0.0,0.0,-1.0,0.88,spam
3.375,0.876,0.727,7.727,0.094,9.318,0.829,0.773,0.197,0.299,0.054,0.801,spam
4.111,0.682,0.03,0.143,0.212,3.214,0.044,0.786,0.015,0.059,-1.0,0.925,malware
5.0,0.802,0.018,0.133,0.135,5.933,0.023,0.6,0.0,0.0,-1.0,0.77,benign
4.625,0.677,0.031,0.143,0.215,3.143,0.046,0.857,0.062,0.0,-1.0,0.925,malware
5.333,0.813,0.516,3.882,0.133,6.118,0.635,0.353,0.18,0.25,0.349,0.874,spam
2.75,0.462,0.173,0.429,0.404,1.143,0.375,0.286,0.058,0.13,0.222,0.802,Defacement
5.0,0.671,0.029,0.125,0.229,2.938,0.043,0.375,0.0,0.0,-1.0,0.832,Defacement
3.0,0.791,0.698,4.138,0.169,4.69,0.882,0.897,0.029,0.039,0.042,0.745,Defacement
3.25,0.198,0.025,0.035,0.716,0.276,0.125,0.19,0.074,0.0,-1.0,0.754,phishing
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
11.333,0.833,0.108,1.1,0.098,8.5,0.129,0.5,0.226,0.349,0.182,0.88,spam
3.6,0.73,0.032,0.2,0.159,4.6,0.044,0.7,0.111,0.03,-1.0,0.88,benign
4.6,0.697,0.273,1.385,0.197,3.539,0.391,0.539,0.046,0.0,0.0,0.86,malware
4.556,0.702,0.107,0.5,0.214,3.278,0.153,0.611,0.036,0.107,0.333,0.83,malware
5.25,0.556,0.044,0.154,0.289,1.923,0.08,0.539,0.178,0.571,-1.0,0.719,phishing
2.667,0.759,0.661,3.7,0.179,4.25,0.871,0.45,0.071,0.071,0.081,0.867,Defacement
3.75,0.731,0.026,0.143,0.18,4.071,0.035,0.786,0.103,0.0,-1.0,0.873,benign
7.125,0.866,0.013,0.154,0.087,9.923,0.016,0.539,0.04,0.0,-1.0,0.875,benign
5.588,0.855,0.015,0.167,0.092,9.333,0.018,0.75,0.023,-1.0,-1.0,0.954,malware
2.667,0.623,0.443,1.688,0.262,2.375,0.711,0.375,0.033,0.054,0.074,0.863,Defacement
1.0,0.681,0.609,2.8,0.217,3.133,0.894,0.733,0.101,0.0,0.0,0.77,malware
4.625,0.726,0.032,0.2,0.161,4.5,0.044,0.7,0.177,-1.0,-1.0,1.0,benign
2.667,0.847,0.787,6.857,0.115,7.381,0.929,0.524,0.049,0.058,0.063,0.832,Defacement
4.333,0.635,0.027,0.1,0.27,2.35,0.043,0.55,0.0,0.0,-1.0,0.821,phishing
8.857,0.8,0.024,0.2,0.118,6.8,0.029,0.4,0.0,0.0,-1.0,0.797,benign
8.75,0.748,0.019,0.105,0.185,4.053,0.026,0.632,0.0,0.0,-1.0,0.783,phishing
4.5,0.457,0.044,0.111,0.391,1.167,0.095,0.833,0.0,0.0,-1.0,0.803,phishing
2.909,0.671,0.057,0.25,0.229,2.938,0.085,0.688,0.086,0.0,0.0,0.844,spam
5.0,0.648,0.037,0.167,0.222,2.917,0.057,0.75,0.148,1.0,-1.0,0.861,benign
4.556,0.702,0.107,0.5,0.214,3.278,0.153,0.611,0.036,0.107,0.333,0.83,malware
5.9,0.708,0.021,0.095,0.219,3.238,0.029,0.714,0.042,0.1,-1.0,0.87,malware
8.923,0.837,0.013,0.111,0.118,7.111,0.016,0.5,0.124,0.161,-1.0,0.82,spam
4.75,0.671,0.11,0.45,0.244,2.75,0.164,0.35,0.037,0.273,0.222,0.789,malware
1.0,0.83,0.78,7.8,0.1,8.3,0.94,0.7,0.01,0.022,0.0,0.94,phishing
4.5,0.393,0.036,0.074,0.482,0.815,0.091,0.741,0.0,0.0,-1.0,0.749,phishing
4.6,0.797,0.029,0.143,0.203,3.929,0.036,0.5,0.0,0.0,-1.0,0.873,malware
3.222,0.758,0.02,0.118,0.172,4.412,0.027,0.824,0.0,0.0,-1.0,0.788,benign
3.3,0.512,0.024,0.061,0.402,1.273,0.048,0.333,0.037,0.111,-1.0,0.785,Defacement
1.5,0.822,0.756,7.556,0.1,8.222,0.919,0.667,0.022,0.05,0.0,1.0,phishing
5.5,0.594,0.031,0.105,0.297,2.0,0.053,0.474,0.0,0.0,-1.0,0.74,phishing
2.5,0.971,0.953,48.533,0.02,49.467,0.981,0.667,0.139,0.144,0.146,0.864,spam
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.025,0.071,-1.0,0.917,phishing
4.333,0.734,0.031,0.2,0.156,4.7,0.043,0.8,0.063,-1.0,-1.0,0.94,benign
5.077,0.788,0.02,0.143,0.141,5.571,0.026,0.786,0.081,1.0,-1.0,0.798,benign
2.8,0.593,0.271,0.941,0.288,2.059,0.457,0.588,0.068,0.133,0.25,0.788,Defacement
2.667,0.785,0.7,4.333,0.162,4.857,0.892,0.524,0.069,0.089,0.099,0.75,Defacement
4.182,0.767,0.027,0.2,0.137,5.6,0.036,0.8,0.151,-1.0,-1.0,0.699,benign
4.625,0.677,0.031,0.143,0.215,3.143,0.046,0.857,0.062,0.0,-1.0,0.925,malware
3.8,0.59,0.051,0.222,0.231,2.556,0.087,0.667,0.18,0.444,-1.0,0.93,Defacement
4.333,0.39,0.049,0.111,0.439,0.889,0.125,0.5,0.073,0.0,-1.0,0.857,phishing
5.5,0.667,0.035,0.167,0.211,3.167,0.053,0.833,0.07,0.108,-1.0,0.861,benign
2.667,0.684,0.571,2.333,0.245,2.792,0.836,0.583,0.061,0.091,0.107,0.766,Defacement
6.0,0.785,0.025,0.2,0.127,6.2,0.032,0.8,0.152,0.197,-1.0,0.88,benign
5.667,0.747,0.494,3.0,0.165,4.539,0.661,0.769,0.266,0.412,0.539,0.802,benign
5.667,0.609,0.031,0.111,0.281,2.167,0.051,0.611,0.0,0.0,-1.0,0.814,malware
4.467,0.774,0.019,0.118,0.16,4.824,0.024,0.824,0.0,0.0,-1.0,0.885,benign
4.25,0.5,0.05,0.154,0.325,1.539,0.1,0.769,0.075,0.214,-1.0,0.917,phishing
2.667,0.244,0.049,0.083,0.585,0.417,0.2,0.458,0.0,0.0,-1.0,0.779,phishing
2.667,0.85,0.764,8.083,0.095,9.0,0.898,0.75,0.047,0.056,0.062,0.843,Defacement
